facility_id,facility_name,facility_type,ownership,district,city,beds_total,beds_available,icu_beds,ambulance_count,pharmacy_available
FAC0001,Paithan Civil Healthcare,PHC,Government,Aurangabad,Paithan,24,23,0,1,No
FAC0002,Kamptee Regional Health Centre,PHC,Government,Nagpur,Kamptee,42,39,2,1,Yes
FAC0003,Dhule Primary Medical Centre,PHC,Government,Dhule,Dhule,20,12,2,2,Yes
FAC0004,Mangalvedhe Civil Clinic,Clinic,Government,Solapur,Mangalvedhe,24,3,0,1,No
FAC0005,Deoni Primary Medical Centre,Clinic,Government,Latur,Deoni,16,3,0,0,Yes
FAC0006,Dhule Rural Medical Centre,Hospital,Private,Dhule,Dhule,244,186,22,9,No
FAC0007,Jalgaon Rural Clinic,PHC,Private,Jalgaon,Jalgaon,48,38,2,1,No
FAC0008,Deoni District Medical Centre,PHC,Private,Latur,Deoni,24,3,2,2,Yes
FAC0009,Karjat Central Health Centre,PHC,Government,Raigad,Karjat,30,15,0,2,No
FAC0010,Khanapur Primary Health Centre,Clinic,Government,Sangli,Khanapur,13,10,0,1,Yes
FAC0011,Pune Regional Clinic,PHC,Government,Pune,Pune,19,14,2,1,Yes
FAC0012,Sillod General Hospital,PHC,Government,Aurangabad,Sillod,10,9,2,1,No
FAC0013,Talegaon Community Polyclinic,Clinic,Government,Pune,Talegaon,21,18,0,0,No
FAC0014,Pandharpur District Hospital,PHC,Government,Solapur,Pandharpur,44,42,2,1,Yes
FAC0015,Sakri Civil Polyclinic,Hospital,Private,Dhule,Sakri,172,162,8,5,No
FAC0016,Rahuri Regional Health Centre,PHC,Government,Ahmednagar,Rahuri,18,18,0,2,Yes
FAC0017,Bhusawal Central Healthcare,Hospital,Private,Jalgaon,Bhusawal,415,384,24,8,Yes
FAC0018,Andheri Civil Polyclinic,PHC,Government,Mumbai,Andheri,11,10,2,1,Yes
FAC0019,Alibag Primary Healthcare,PHC,Government,Raigad,Alibag,31,11,0,1,Yes
FAC0020,Warud Primary Hospital,Clinic,Private,Amravati,Warud,20,17,0,0,No
FAC0021,Radhanagari General Hospital,Clinic,Government,Kolhapur,Radhanagari,19,4,0,0,Yes
FAC0022,Karad Civil Clinic,Clinic,Government,Satara,Karad,18,9,0,0,Yes
FAC0023,Mumbai Primary Health Centre,CHC,Private,Mumbai,Mumbai,99,20,8,1,No
FAC0024,Sindkhede Community Clinic,PHC,Government,Dhule,Sindkhede,13,1,0,2,No
FAC0025,Chopda Primary Hospital,Clinic,Private,Jalgaon,Chopda,26,6,0,1,Yes
FAC0026,Pachora Rural Hospital,PHC,Government,Jalgaon,Pachora,13,9,0,2,No
FAC0027,Nashik Primary Healthcare,Hospital,Government,Nashik,Nashik,354,241,9,5,Yes
FAC0028,Hatkanangle General Health Centre,PHC,Private,Kolhapur,Hatkanangle,46,20,2,2,Yes
FAC0029,Ausa Civil Hospital,Clinic,Government,Latur,Ausa,19,3,0,1,Yes
FAC0030,Igatpuri Community Healthcare,PHC,Government,Nashik,Igatpuri,14,5,0,2,Yes
FAC0031,Sangli Rural Medical Centre,Hospital,Private,Sangli,Sangli,391,378,40,6,Yes
FAC0032,Miraj General Health Centre,Clinic,Government,Sangli,Miraj,13,10,0,1,Yes
FAC0033,Tasgaon Community Hospital,CHC,Private,Sangli,Tasgaon,62,11,8,1,Yes
FAC0034,Ausa District Hospital,Clinic,Private,Latur,Ausa,10,9,0,1,No
FAC0035,Panvel Rural Clinic,Clinic,Private,Raigad,Panvel,22,13,0,0,Yes
FAC0036,Alibag General Healthcare,Clinic,Government,Raigad,Alibag,16,8,0,0,Yes
FAC0037,Achalpur General Clinic,Hospital,Government,Amravati,Achalpur,171,122,15,4,Yes
FAC0038,Shrirampur Central Health Centre,CHC,Private,Ahmednagar,Shrirampur,64,30,3,1,No
FAC0039,Mangalvedhe Primary Clinic,Clinic,Private,Solapur,Mangalvedhe,30,10,0,0,Yes
FAC0040,Kopargaon Civil Medical Centre,Clinic,Private,Ahmednagar,Kopargaon,16,11,0,1,No
FAC0041,Aurangabad General Clinic,Clinic,Private,Aurangabad,Aurangabad,8,5,0,1,No
FAC0042,Hatkanangle Primary Medical Centre,PHC,Government,Kolhapur,Hatkanangle,22,15,1,1,Yes
FAC0043,Pen Regional Medical Centre,PHC,Private,Raigad,Pen,49,23,1,1,Yes
FAC0044,Malegaon Community Clinic,PHC,Government,Nashik,Malegaon,36,14,2,2,Yes
FAC0045,Paithan Primary Healthcare,PHC,Government,Aurangabad,Paithan,37,32,2,2,Yes
FAC0046,Shrirampur Primary Polyclinic,PHC,Private,Ahmednagar,Shrirampur,15,2,1,2,No
FAC0047,Nashik Civil Clinic,Clinic,Private,Nashik,Nashik,6,3,0,0,Yes
FAC0048,Butibori District Hospital,PHC,Private,Nagpur,Butibori,41,13,1,1,Yes
FAC0049,Rahuri Central Polyclinic,CHC,Government,Ahmednagar,Rahuri,89,23,2,2,Yes
FAC0050,Barshi Rural Polyclinic,PHC,Private,Solapur,Barshi,49,39,2,2,Yes
FAC0051,Shrirampur Community Clinic,Hospital,Government,Ahmednagar,Shrirampur,480,296,22,10,Yes
FAC0052,Gangapur Regional Polyclinic,Clinic,Government,Aurangabad,Gangapur,15,3,0,0,Yes
FAC0053,Radhanagari Regional Clinic,Clinic,Government,Kolhapur,Radhanagari,15,7,0,1,Yes
FAC0054,Jalgaon Community Clinic,Hospital,Private,Jalgaon,Jalgaon,488,51,29,9,No
FAC0055,Hatkanangle Regional Clinic,Hospital,Private,Kolhapur,Hatkanangle,432,292,39,5,Yes
